都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
12025,171401854,北海道,函館市,有限会社　星野リフォーム,ユウゲンガイシャ　ホシノリフォーム,福祉用具貸与,函館市本通２丁目３３－１１,,41.797964200000000,140.773531400000000,0138-53-5366,0138-53-5367,,有限会社　星野リフォーム,171401854,平日,時間外及び定休日については転送電話にて対応,,,,,,
12351,177600392,北海道,石狩市,アット福祉用具販売貸与事業所,アットフクショウグハンバイタイヨジギョウショ,福祉用具貸与,石狩市花川北５条２丁目106,,43.165585000000000,141.318236300000000,0133-62-8100,0133-62-8101,,有限会社　アット,177600392,平日,,,http://www.at-corporation.co.jp/,,,,
12068,174100347,北海道,釧路市,有限会社　野上商会,ユウゲンガイシャ　ノガミショウカイ,福祉用具貸与,釧路市愛国東1丁目25番3号,,43.003772100000000,144.397167200000000,0154-37-8950,0154-37-8198,,有限会社　野上商会,174100347,平日.土曜日.日曜日.祝日,定休日も対応可,,,,,,
12076,174602110,北海道,帯広市,福祉用具専門店　丸福,フクシヨウグセンモンテン　マルフク,福祉用具貸与,北海道帯広市西12条南31丁目16,,42.895018600000000,143.188699500000000,0155-67-0410,0155-67-0415,,福祉用具専門店　丸福,174602110,平日,,,,,,,
12297,173000134,北海道,富良野市,有限会社中央ハイヤー,ユゲンガイシャチュウオウハイヤー,福祉用具貸与,北海道富良野市西扇山１,,43.323473000000000,142.397517300000000,0167-22-2800,0167-22-2166,,有限会社中央ハイヤー,173000134,平日,,,http://www.chuo-hire.com/,,,,
11029,170103782,北海道,札幌市北区,イリーゼ生活サポート札幌,イリーゼセイカツサポートサッポロ,福祉用具貸与,北海道札幌市北区新琴似4条1丁目1-45イリーゼ新琴似内,イリーゼ新琴似内,43.105242600000000,141.330378600000000,011-707-5030,011-707-5031,,長谷川介護サービス株式会社,170103782,平日,,,http://www.irs.jp/,,,,
11037,170207872,北海道,札幌市東区,アイサポート,アイサポート,福祉用具貸与,北海道札幌市東区北21条東1丁目3番18号108号室,108号室,43.087967600000000,141.351466700000000,011-731-8500,011-731-1199,,株式会社　カキザキ,170207872,平日,,,,,,,
11045,170503072,北海道,札幌市白石区,株式会社ハーティワークス,カブシキガイシャ　ハーティワークス,福祉用具貸与,札幌市白石区流通センター１丁目７番５４号,,43.037726100000000,141.443144800000000,011-863-8010,011-863-8013,6430001029898,株式会社ハーティワークス,170503072,平日.土曜日,,,http://www.keijinkai.com/heartyworks/,,,,
12025,171401169,北海道,函館市,テーオー・ケアサービス,テーオー・ケアサービス,福祉用具貸与,函館市北浜町５番１０号ハートＴＯハート北浜,ハートＴＯハート北浜,41.797025452115900,140.727464665082000,0138-44-1110,0138-44-5777,,株式会社テーオー小笠原,171401169,平日.土曜日.日曜日.祝日,なし,,,,,,
12076,174600056,北海道,帯広市,株式会社　ムトウ　帯広支店,カブシキガイシャ　ムトウ　オビヒロシテン,福祉用具貸与,帯広市西３条南１６丁目１８番２号,,42.913500500000000,143.201580700000000,0155-24-2940,0155-24-1652,2430001016743,株式会社ムトウ,174600056,平日.土曜日,,,,,,,
12246,171100159,北海道,千歳市,株式会社　丸畑家具センター　メディカル事業部,カブシキガイシャ　マルハタカグセンター　メディカルジギョウブ,福祉用具貸与,北海道千歳市北斗２丁目１１番１８号,,42.829581100000000,141.633654800000000,0123-24-1181,0123-22-8865,,株式会社　丸畑家具センター,171100159,平日.土曜日,家具屋併設のため、日曜営業の場合もございます。,,http://家具インテリア.jp.net,,,,
15458,175300516,北海道,斜里町,株式会社ナガタ,カブシキガイシャナガタ,福祉用具貸与,北海道斜里郡斜里町文光町４８番地２０,,43.906012348523900,144.660068582140000,0152-26-7650,0152-26-7651,,株式会社ナガタ,175300516,平日.土曜日,,,,,,,
11037,170200109,北海道,札幌市東区,株式会社エンパイアーホームヘルスケア事業部札幌営業所,カブシキガイシャエンパイアーホームヘルスケアジギョウブサッポロエイギョウショ,福祉用具貸与,札幌市東区東苗穂5条2丁目7番14号,,43.089905200000000,141.408944900000000,011-786-7474,011-786-7878,,株式会社エンパイアー,170200109,平日,-,,,,,,
11053,170508477,北海道,札幌市豊平区,株式会社ヘルスケアコープ,カブシキガイシャ　ヘルスケアコープ,福祉用具貸与,北海道札幌市豊平区月寒中央通7丁目6-20JA月寒中央ビル6階,JA月寒中央ビル6階,43.030209652200300,141.396886376585000,011-852-5000,011-852-5050,6430001045565,株式会社ヘルスケアコープ,170508477,平日,納品及び回収等の日程は相談に応じます,,,,,,
11053,170504823,北海道,札幌市豊平区,株式会社北日本メディカル,カブシキカイシャキタニホンメディカル,福祉用具貸与,北海道札幌市豊平区平岸５条１０丁目７－１,,43.031024500000000,141.379317500000000,011-832-5676,011-832-5679,,株式会社北日本メディカル,170504823,平日,,,http://www.kitamedi.co.jp,,,,
11088,170511554,北海道,札幌市厚別区,有限会社優コーポレーション,ユウゲンガイシャユウコーポレーション,福祉用具貸与,北海道札幌市厚別区厚別西3条1丁目1番35号,,43.047231100000000,141.454107100000000,011-890-6222,011-215-5775,,有限会社優コーポレーション,170511554,平日,休日については、事前連絡がある場合相談に応じさせていただきます。,,http://www.shoureikan.jp/u-cp/,,,,
11096,170403521,北海道,札幌市手稲区,株式会社フロンティア札幌営業所,カブシキガイシャフロンティアサッポロエイギョウショ,福祉用具貸与,北海道札幌市手稲区曙2条4丁目3-62,,43.131400400000000,141.227224400000000,011-699-8681,011-699-8682,,株式会社フロンティア,170403521,平日.土曜日,特になし,,http://www.frontier-ph.com/homecare/,,,,
12025,171404650,北海道,函館市,ダスキンヘルスレント函館ステーション,ダスキンヘルスレントハコダテステーション,福祉用具貸与,北海道函館市石川町180-4,,41.838017144016900,140.737720950464000,0138-82-8080,0138-82-8181,,株式会社eeステーション,171404650,平日.土曜日,,,https://healthrent.duskin.jp/,,,,
12173,171001779,北海道,江別市,ケアサービス唯,ケアサービスユイ,福祉用具貸与,北海道江別市野幌末広町16－4,,43.089692500000000,141.518398900000000,011-375-7876,011-375-8497,,株式会社ワンズケアサービス,171001779,平日.土曜日.日曜日,,,,,,,
12238,174200626,北海道,根室市,株式会社ヒシサン,カブシキカイシャヒシサン,福祉用具貸与,北海道根室市大正町３丁目７番地,,43.327637300000000,145.585973500000000,0153-23-5188,0153-24-2411,3460401000236,株式会社ヒシサン,174200626,平日,その他の休日　国民の祝日、国民の休日、年末年始（12月30日～1月4日）,,,,,,
14648,173200965,北海道,和寒町,株式会社　近藤組　スマイルサポートグループ,カブシキガイシャ　コンドウグミ　スマイルサポートグループ,福祉用具貸与,北海道上川郡和寒町字三笠９９番地,,44.021566000000000,142.417864200000000,0165-32-2042,0165-32-3492,2450001007823,株式会社近藤組,173200965,平日,,,http://kondogumi.com/,,,,
12025,171403983,北海道,函館市,介護用品レンタルここわ,カイゴヨウヒンレンタルココワ,福祉用具貸与,北海道函館市富岡町1丁目21-14,,41.804836800000000,140.742391000000000,0138-83-6559,0138-83-6445,1440001007156,株式会社シンワテック,171403983,平日.土曜日.祝日,12/29～1/3の期間は正月休みとします,,,,,,
12025,171403314,北海道,函館市,ＤＣＭホーマック石川店,ディーシーエムホーマックイシカワテン,福祉用具貸与,北海道函館市石川町２３１番地1,,41.842260800000000,140.736231700000000,0138-34-3317,0138-34-3338,9430001014534,ＤＣＭホーマック株式会社,171403314,平日.土曜日.日曜日.祝日,,,http://www.homac-fukushi.jp/,,,,
12041,172905978,北海道,旭川市,福祉用具貸与事業所絆,フクシヨウグタイヨジギョウショキズナ,福祉用具貸与,北海道旭川市永山3条24丁目2-2,,43.817583700000000,142.447716200000000,0166-40-3606,0166-47-8181,1450003000884,合同会社絆,172905978,平日.土曜日,,,https://samuraigroup.jp/,,,,
12041,172906190,北海道,旭川市,ケアサポートセンターあけぼの,ケアサポートセンターアケボノ,福祉用具貸与,北海道旭川市曙１条７丁目２番２４号,,43.771031900000000,142.339599300000000,0166-85-7700,0166-85-7212,,株式会社健康会,172906190,平日.土曜日,,,http://www.kenkohkai.jp,,,,
12297,173000399,北海道,富良野市,ごりょうの丘福祉用具貸与事業所,ゴリョウノオカフクシヨウグタイヨジギョウショ,福祉用具貸与,北海道富良野市下御料1990番地,,43.338884100000000,142.364777200000000,0167-22-2123,0167-22-2122,,株式会社すまいるふらの,173000399,平日,,,http://smile-furano.hp.kaipoke.biz/91879/index_0001.html,,,,
14087,172500209,北海道,余市町,有限会社ひろし家具店福祉用具貸与事業所,ユウゲンガイシャヒロシカグテンフクシヨウグタイヨジギョウショ,福祉用具貸与,北海道余市郡余市町黒川町3丁目1番地,,43.190399400000000,140.792280900000000,0135-22-5191,0135-22-6216,,有限会社ひろし家具店,172500209,平日.土曜日.日曜日.祝日,,,,,,,
14290,175809540,北海道,栗山町,有限会社高杉,ユウゲンガイシャタカスギ,福祉用具貸与,北海道夕張郡栗山町中央2丁目189,,43.060095500000000,141.777112800000000,0123-72-0338,0123-72-6366,7430002050976,有限会社高杉,175809540,平日.土曜日,,,http://www.takasugi-ky.co.jp,,,,
12025,171401466,北海道,函館市,介護用品のぱれっと,カイゴヨウヒンノパレット,福祉用具貸与,北海道函館市宮前町３番６号,,41.787514100000000,140.738164500000000,0138-87-0420,0138-87-0561,,有限会社ライフアート,171401466,平日.土曜日.祝日,,,http://lifeart.biz/,,,,
12025,171400542,北海道,函館市,ニチイケアセンター函館桔梗,ニチイケアセンターハコダテキキョウ,福祉用具貸与,北海道函館市桔梗3丁目22番9号,,41.848007100000000,140.729331900000000,0138-47-9881,0138-47-9884,,株式会社　ニチイ学館,171400542,平日,,,http://www.nichiigakkan.co.jp/,,,,
12025,171400328,北海道,函館市,有限会社　ナースショップふれ愛中島店,ユウゲンガイシャ　ナースショップフレアイナカジマテン,福祉用具貸与,函館市中島町38～1あけぼのマンション1F,あけぼのマンション1F,41.787522500000000,140.743080800000000,0138-53-4755,0138-53-7750,,有限会社　ナースショップふれ愛,171400328,平日,-,,,,,,
12025,171404445,北海道,函館市,福祉用具貸与事業所アニー,フクシヨウグタイヨジギョウショアニー,福祉用具貸与,北海道函館市中道２丁目１８番１号マンションＡＩ　１０３号室,マンションＡＩ　１０３号室,41.808457200000000,140.762895200000000,0138-84-8114,0138-85-8614,1440002008120,有限会社ケアマネジメントオフィス・アニー,171404445,平日,,,,,,,
12025,171404296,北海道,函館市,テーオーケアサービス,テーオーケアサービス,福祉用具貸与,北海道函館市北浜町５番１０号,,41.797018400000000,140.727481600000000,0138-44-1110,0138-44-5777,3440001000209,株式会社テーオー総合サービス,171404296,平日.土曜日.日曜日.祝日,店舗に関しては棚卸、各行事に伴い休みを設けることがある。,,http://to-caresv.jp/,,,,
12033,172002446,北海道,小樽市,株式会社ムトウ小樽支店,カブシキガイシャムトウオタルシテン,福祉用具貸与,北海道小樽市港町4番3号,,43.200463600000000,141.001713600000000,0134-22-6102,0134-23-1003,2430001016743,株式会社ムトウ,172002446,平日,,,,,,,
12033,172002651,北海道,小樽市,サンスイA&S福祉用具貸与事業所,サンスイエイアンドエスフクシヨウグタイヨジギョウショ,福祉用具貸与,北海道小樽市銭函3丁目511-11,,43.142329900000000,141.185049100000000,0134-61-5770,0134-61-5771,2430001078684,株式会社札幌山水,172002651,平日.土曜日,夏季休業　8/13～8/16（改行）年末年始　12/29～1/5,,,,,,
12041,172900342,北海道,旭川市,北海道難病連　旭川営業所,ホッカイドウナンビョウレン　アサヒカワエイギョウショ,福祉用具貸与,旭川市５条通５丁目１６９０－１,,43.771437900000000,142.357367000000000,0166-24-7900,0166-24-7908,3430005001410,一般財団法人　北海道難病連,172900342,平日,時間外及び定休日については転送電話にて対応,,http://www.do-nanren.jp/,,,,
12041,172906950,北海道,旭川市,おたすケアいわき,オタスケアイワキ,福祉用具貸与,北海道旭川市３条通３丁目右１号北海道新聞　岩城新聞店　内,北海道新聞　岩城新聞店　内,43.769526900000000,142.352842600000000,0166-73-3115,0166-23-1256,9450001000466,株式会社岩城新聞店,172906950,平日.土曜日,時間外は緊急連絡先をアナウンス,,,,,,
12041,172904211,北海道,旭川市,ニック株式会社旭川営業所,ニックカブシキカイシャアサヒカワエイギョウショ,福祉用具貸与,旭川市豊岡4条8丁目2-3,,43.759240954447200,142.416189195229000,0166-37-7501,0166-37-7502,,ニック株式会社旭川営業所,172904211,平日.土曜日,,,http://www.nick.-corp.com,,,,
12041,172907016,北海道,旭川市,セカンドライフ,セカンドライフ,福祉用具貸与,北海道旭川市錦町16丁目2965番地51ラフィングA102,ラフィングA102,43.790760000000000,142.337453700000000,0166-76-7930,0166-76-7931,,合同会社セカンドライフ,172907016,平日,緊急時、時間外・休業日対応,,,,,,
12041,172907230,北海道,旭川市,介護用品レンタルあるく,カイゴヨウヒンレンタルアルク,福祉用具貸与,北海道旭川市末広１条１１丁目１番２０号住宅型有料老人ホーム　あるくⅡ,住宅型有料老人ホーム　あるくⅡ,43.813643400000000,142.400043500000000,0166-73-6821,0166-73-6827,,株式会社　あるく,172907230,平日,担当者不在時は、伝言等にてお伝え下さい。,,,,,,
12041,172900615,北海道,旭川市,株式会社旭川健生舎,カブシキガイシャアサヒカワケンセイシャ,福祉用具貸与,旭川市1条通11丁目右8号,,43.763766800000000,142.364652600000000,0166-24-2936,0166-23-2544,,株式会社旭川健生舎,172900615,平日,なし,,,,,,
12084,175012202,北海道,北見市,株式会社ミズノ硝子建材,カブシキガイシャミズノガラスケンザイ,福祉用具貸与,北海道北見市美山町東2丁目69-11,,43.826906003383200,143.882757981615000,0157-23-3161,0157-22-2241,2460301001054,株式会社ミズノ硝子建材,175012202,平日,,,http://www.mizunoglass.jp/,,,,
12084,175011980,北海道,北見市,在宅環境サービス株式会社,ザイタクカンキョウサービスカブシキガイシャ,福祉用具貸与,北見市東三輪４丁目１６番地３８,,43.796689500000000,143.859151600000000,0157-57-3821,0157-57-3831,,在宅環境サービス株式会社,175011980,平日,,,,,,,
12068,174101618,北海道,釧路市,エア・ウォーター・ライフサポート株式会社　釧路営業所,エア・ウォーター・ライフサポートカブシキガイシャ　クシロエイギョウショ,福祉用具貸与,北海道釧路市寿4丁目3番10号,,42.993194900000000,144.371814600000000,0154-25-4088,0154-25-4077,,エア・ウォーター・ライフサポート株式会社,174101618,平日,営業時間外及び定休日における全ての緊急連絡は、24時間緊急時電話受付（全道24時間ベルサービスシステム）にて対応。担当者への連絡を経て、緊急を要する場合は随時対応。,,http://www.aw-hellosupport.co.jp/,,,,
12076,174600270,北海道,帯広市,ライフケアほく優,ライフケアホクユウ,福祉用具貸与,帯広市西5条南24丁目1,,42.904459800000000,143.199031300000000,0155-28-3904,,,有限会社北優商事,174600270,平日,,,,,,,
12076,174601435,北海道,帯広市,エア・ウォーター・ライフサポート株式会社　帯広営業所,エア・ウォーター・ライフサポートカブシキガイシャ　オビヒロエイギョウショ,福祉用具貸与,北海道帯広市西２２条南１丁目３番地,,42.925257400000000,143.130111400000000,0155-38-8666,0155-38-8661,2430001029209,エア・ウォーター・ライフサポート株式会社,174601435,平日,営業時間外及び定休日における全ての緊急連絡は、24時間緊急時電話受付（全道24時間ベルサービスシステム）又は携帯電話にて対応。,,,,,,
12076,174602623,北海道,帯広市,株式会社ツーピース,カブシキガイシャツーピース,福祉用具貸与,北海道帯広市西23条南4丁目3番地8ｳｴｽﾄｺｰﾄ201号室,ｳｴｽﾄｺｰﾄ201号室,42.908173008060100,143.131679271164000,0155-29-6262,0155-94-3251,9460101006503,株式会社ツーピース,174602623,平日,ご相談等あれば時間外でも対応致します。,,http://hp.kaipoke.biz/yp7/index.html,,,,
12076,174600999,北海道,帯広市,株式会社　ディステリア京屋　福祉事業部,カブシキガイシャ　ディステリアキョウヤ　フクシジギョウブ,福祉用具貸与,帯広市西８条南６丁目７番地,,42.924193753557400,143.193075908073000,0155-22-2151,0155-22-2153,7460101001027,株式会社　ディステリア京屋　福祉事業部,174600999,平日,緊急時等は、休日、時間外でも対応できます。,,http://www.d-kyoya.com,,,,
12076,174602516,北海道,帯広市,福祉用具貸与事業所サトレン,フクシヨウグタイヨジギョウショサトレン,福祉用具貸与,北海道帯広市西11条南11丁目４,,42.918516896632000,143.188703728836000,0155-67-6439,0155-67-6438,3460101006376,株式会社サトレン,174602516,平日,,,,,,,
