都道府県コード又は市町村コード,No,都道府県名,市区町村名,事業所名,事業所名カナ,サービスの種類,住所,方書（ビル名等）,緯度,経度,電話番号,FAX番号,法人番号,法人の名称,事業所番号,利用可能曜日,利用可能曜日特記事項,定員,URL,高齢者の方と障害者の方が同時一体的に利用できるサービス,介護保険サービスの指定状況,障害福祉サービスの指定状況,備考
12025,171402738,北海道,函館市,株式会社　村山防災設備,カブシキガイシャ　ムラヤマボウサイセツビ,特定福祉用具販売,函館市　湯川町1丁目１２番１９号,,41.777021900000000,140.781659600000000,0138-57-5422,0138-57-9585,,株式会社村山防災設備,171402738,平日,尚、12月29日～1月3日までは休日,,,,,,
12246,171100522,北海道,千歳市,フランスベッド株式会社　メディカル千歳営業所,フランスベットカブシキガイシャ　メディカルチトセエイギョウショ,特定福祉用具販売,千歳市北信濃867,,42.843090100000000,141.619874400000000,0123-40-3822,0123-22-3205,,フランスベッド株式会社,171100522,平日.土曜日,,,http://www.francebed.co.jp/,,,,
12246,171100746,北海道,千歳市,株式会社興栄パートナー,カブ）コウエイパートナー,特定福祉用具販売,北海道千歳市富士1丁目1番5号,,42.836016300000000,141.627396600000000,0123-25-5528,0123-25-5238,,株式会社興栄パートナー,171100746,平日,,,miaka_kouei@mbr.sphere.ne.jp,,,,
12122,146440367,北海道,留萌市,江戸薬局福祉用具販売事業部,エドヤッキョクフクシヨウグハンバイジギョウブ,特定福祉用具販売,留萌市錦町3丁目1番30号,,43.938615000000000,141.646125400000000,0164-42-0697,0164-43-8400,,有限会社ヘルスケア江戸,146440367,平日,,,http://www.2007-edoya.com,,,,
11088,170511554,北海道,札幌市厚別区,有限会社　優コーポレーション,ユウゲンガイシャ　ユウコーポレーション,特定福祉用具販売,北海道札幌市厚別区厚別西3条1丁目1番35号,,43.047231100000000,141.454107100000000,011-890-6222,011-215-5775,,有限会社　優コーポレーション,170511554,平日,休日については、事前連絡がある場合相談に応じさせていただきます。,,http://u-co.jp/,,,,
12041,172900714,北海道,旭川市,旭川福祉レンタルセンター,アサヒカワフクシレンタルセンター,特定福祉用具販売,旭川市春光台5条2丁目14-7,,43.820332100000000,142.346284100000000,0166-50-2188,0166-50-2188,,有限会社旭川高齢者グループホーム,172900714,平日,,,,,,,
12076,174600056,北海道,帯広市,株式会社　ムトウ　帯広支店,カブシキガイシャ　ムトウ　オビヒロシテン,特定福祉用具販売,帯広市西３条南１６丁目１８番２号,,42.913500500000000,143.201580700000000,0155-24-2940,0155-24-1652,,株式会社　ムトウ,174600056,平日.土曜日,-,,,,,,
11029,170103774,北海道,札幌市北区,イリーゼ生活サポート札幌,イリーゼセイカツサポートサッポロ,特定福祉用具販売,北海道札幌市北区新琴似4条1丁目1-45イリーゼ新琴似内,イリーゼ新琴似内,43.105242600000000,141.330378600000000,011-707-5030,011-707-5031,,長谷川介護サービス株式会社,170103774,平日,,,http://www.irs.jp/,,,,
11045,170503072,北海道,札幌市白石区,株式会社ハーティワークス,カブシキガイシャハーティワークス,特定福祉用具販売,札幌市白石区流通センター１丁目７番５４号北新ビル1階,北新ビル1階,43.037655524170000,141.443268181615000,011-863-8010,011-863-8013,6430001029898,株式会社ハーティワークス,170503072,平日.土曜日,,,http://www.keijinkai.com/heartyworks/,,,,
12025,171401169,北海道,函館市,テーオー・ケアサービス,テーオー・ケアサービス,特定福祉用具販売,函館市北浜町５番１０号,,41.797021452885300,140.727453936246000,0138-44-1110,0138-44-5777,,株式会社テーオー小笠原,171401169,平日.土曜日.日曜日.祝日,なし,,,,,,
